time,close,Actual Returns,SMA_Fast,SMA_Slow,Signal,Entry/Exit
2017-04-11,1223.99,0.011561983471074289,1087.7464,1052.3277,0.0,
2017-04-12,1214.17,-0.008022941363900027,1097.5131999999999,1054.3549,0.0,0.0
2017-04-13,1177.05,-0.030572325127453448,1103.8156000000001,1055.9187000000002,0.0,0.0
2017-04-14,1173.74,-0.0028121150333459966,1108.9668,1056.3531,0.0,0.0
2017-04-15,1178.85,0.00435360471654711,1111.5439999999999,1058.0716,0.0,0.0
2017-04-16,1177.99,-0.0007295245366245595,1117.2808,1060.8944000000001,0.0,0.0
2017-04-17,1189.91,0.010118931400096898,1123.8716,1063.7034999999998,0.0,0.0
2017-04-18,1201.94,0.010110008319957009,1134.5544,1066.4895999999999,0.0,0.0
2017-04-19,1214.21,0.01020849626437248,1144.574,1069.6051,0.0,0.0
2017-04-20,1236.15,0.018069361971981834,1155.0968,1072.8966,0.0,0.0
2017-04-21,1249.99,0.011196052259029976,1163.4132,1077.4388000000001,0.0,0.0
2017-04-22,1247.0,-0.0023920191361530563,1171.4772,1081.7863,0.0,0.0
2017-04-23,1251.98,0.003993584603047218,1179.8256,1085.9919,0.0,0.0
2017-04-24,1257.29,0.004241281809613584,1188.4236,1090.2848,0.0,0.0
2017-04-25,1281.16,0.01898527785952342,1196.1104,1094.7633,0.0,0.0
2017-04-26,1298.44,0.013487776702363563,1204.368,1099.4036,0.0,0.0
2017-04-27,1349.26,0.03913927482209423,1213.7788,1103.8362,0.0,0.0
2017-04-28,1353.34,0.00302387975631091,1221.8084000000001,1108.4897,0.0,0.0
2017-04-29,1365.43,0.008933453529785584,1230.6660000000002,1113.1148,0.0,0.0
2017-04-30,1384.55,0.014002914832689894,1240.7284000000002,1118.0172,0.0,0.0
2017-05-01,1436.5,0.037521216279657654,1250.4964,1123.1316,0.0,0.0
2017-05-02,1471.99,0.024705882352941133,1261.616,1128.5393000000001,0.0,0.0
2017-05-03,1533.0,0.04144729244084533,1275.5559999999998,1134.7623,0.0,0.0
